id	title	type	default	category	description	options
attr_status_stacks_map	Status Stacks Map	string		status	Serialized key/value map of status stack counts.	[]
attr_status_duration_map	Status Duration Map	string		status	Serialized key/value map of remaining turn durations.	[]
attr_guard_value	Guard Value	number	0	status_derived	Flat damage prevention from Guard-family effects.	[]
attr_exposed_value	Exposed Value	number	0	status_derived	Flat damage amplification from Expose-family effects.	[]
attr_staggered	Staggered	boolean	false	status_derived	Restricts AP or card options while active.	[]
attr_overheat_stacks	Overheat Stacks	number	0	status_derived	Heat pressure tracker for machine-intensive actions.	[]
attr_marked_target	Marked Target	boolean	false	status_derived	Unit is marked for focused interactions.	[]
attr_shield_temp	Shield Temp HP	number	0	status_derived	Temporary shield pool from shield keywords.	[]
attr_tethered_resonance_bonus	Tethered Resonance Bonus	number	1	stat_modifier	Permanent +1 RESONANCE bonus from Tethered heritage.	[]
attr_tethered_veil_bonus	Tethered Veil Bonus	number	1	stat_modifier	Permanent +1 VEIL bonus from Tethered heritage.	[]
attr_tethered_hand_size_mod	Tethered Hand Size Modifier	number	1	stat_modifier	+1 to starting hand size.	[]
attr_tethered_echomind_undivided	Echomind Undivided	boolean	true	passive	Immunity to augmentation-targeting status effects such as Overheat and chassis Signal attacks.	[]
attr_tethered_biological_acuity	Biological Acuity	boolean	true	passive	+2 RESONANCE to read people/places/events; cannot be surprised by creatures within perception range.	[]
attr_tethered_old_flesh_memory	Old Flesh Memory	boolean	true	passive	Start each combat with Regen 1, undispellable by augmentation-stripping effects.	[]
attr_tethered_unclocked	Unclocked	boolean	true	passive	Fails automatic tech location/tracking unless operator specifically knows the Tethered.	[]
attr_tethered_aug_count	Augmentation Count	number	0	derived	Always zero; Tethered cannot integrate augmentations.	[]
attr_echoed_resonance_bonus	Echoed Resonance Bonus	number	1	stat_modifier	Permanent +1 RESONANCE bonus from Echoed heritage.	[]
attr_echoed_edge_bonus	Echoed Edge Bonus	number	1	stat_modifier	Permanent +1 EDGE bonus from Echoed heritage.	[]
attr_echoed_hand_size_mod	Echoed Hand Size Modifier	number	1	stat_modifier	+1 to starting hand size.	[]
attr_echoed_already_died	Already Died	boolean	true	passive	First time per combat reduced to 0 HP, drop to 1 HP instead.	[]
attr_echoed_afterlife_awareness	Iron Afterlife Awareness	boolean	true	passive	Sense recently dead Echominds within 30 feet: presence, count, timing from last 24 hours.	[]
attr_echoed_no_fear_crossing	No Fear of the Crossing	boolean	true	passive	Frightened and morale-break effects have no mechanical effect; narrative fear persists.	[]
attr_echoed_gap_resonance_imprint	Gap Resonance Imprint	string	unknown	lore_state	Narrative tracker of what the Echoed carries from the Iron Afterlife.	[]
attr_echoed_carried_things	Carried Things Present	boolean	true	passive	Tracks emotional echoes from other consciousnesses encountered in the Afterlife.	[]
attr_wireborn_signal_bonus	Wireborn Signal Bonus	number	2	stat_modifier	Permanent +2 SIGNAL bonus from Wireborn heritage.	[]
attr_wireborn_hand_size_mod	Wireborn Hand Size Modifier	number	1	stat_modifier	+1 to starting hand size.	[]
attr_wireborn_ambient_sense	Ambient Wire Sense	boolean	true	passive	Always aware of active Wire Craft within 60 feet: presence, direction, and power level.	[]
attr_wireborn_signal_vulnerability	Signal Vulnerability	boolean	true	passive	Silence effects last 1 additional turn; structural weakness, cannot be suppressed.	[]
attr_wireborn_digital_navigation	Digital Navigation	boolean	true	passive	In Wire Craft environments: perfect navigation, cannot be disoriented, perfect data-path retracing.	[]
attr_wireborn_circuit_trace	Circuit Trace Pattern	string	luminous_blue_amber	appearance	Subdermal circuit-trace visible at temples/wrists/forearms/sternum; glows during data processing.	[]
attr_stitched_frame_bonus	Stitched Frame Bonus	number	1	stat_modifier	Permanent +1 FRAME bonus from Stitched heritage.	[]
attr_stitched_custom_stat_bonus	Custom Stat Bonus	number	1	stat_modifier	+1 to one stat chosen at character creation reflecting assembly dominance.	[]
attr_stitched_hand_size_mod	Stitched Hand Size Modifier	number	0	stat_modifier	No hand size modifier from Stitched heritage.	[]
attr_stitched_modular_construction	Modular Construction	boolean	true	passive	Repairs cost half time and resources: short rest instead of full, single scene instead of full session.	[]
attr_stitched_inconsistent_resonance	Inconsistent Resonance Signature	boolean	true	passive	50% chance targeting/identity-lock effects misfire; GM rolls die, odd result fails.	[]
attr_stitched_stagger_resistance	Stagger Resistance	boolean	true	passive	First Stagger source per combat is negated; subsequent applications proceed normally.	[]
attr_stitched_drift_state	Drift State	list	none	lore_state	Biological/mechanical adaptations developed over time through play.	["none","biological_lean","mechanical_lean","convergent"]
attr_stitched_component_a	Component A Primary	string	player_defined	derived	Player-defined at creation; determines Component A of Composite Response card.	[]
attr_stitched_component_b	Component B Secondary	string	player_defined	derived	Player-defined at creation; determines Component B of Composite Response card.	[]
attr_stitched_assembly_provenance	Assembly Provenance	string	mixed_sources	lore_state	Tracker of component origins; player may track detailed sourcing.	[]
attr_shellbroken_frame_bonus	Shellbroken Frame Bonus	number	1	stat_modifier	Permanent +1 FRAME bonus from Shellbroken heritage.	[]
attr_shellbroken_resonance_bonus	Shellbroken Resonance Bonus	number	1	stat_modifier	Permanent +1 RESONANCE bonus from Shellbroken heritage.	[]
attr_shellbroken_hand_size_mod	Shellbroken Hand Size Modifier	number	0	stat_modifier	No hand size modifier from Shellbroken heritage.	[]
attr_shellbroken_void_touched_mind	Void-Touched Mind	boolean	true	passive	Psychic/mental intrusion, fear, and morale effects do not apply; psychic damage applies normally.	[]
attr_shellbroken_shell_state_awareness	Shell-State Awareness	boolean	true	passive	Sense beings under Hollow Author control within 60 feet: presence only, no identification.	[]
attr_shellbroken_survivor_clarity	Survivor's Clarity	boolean	true	passive	Once per combat when below half HP, gain Guard 4 as a free reaction.	[]
attr_shellbroken_hollow_author_connection	Hollow Author Connection	boolean	true	lore_state	Residual connectivity to Hollow Author's network; non-control, may sometimes receive or push back transmissions.	[]
attr_shellbroken_identity_tokens	Identity Tokens	string		lore_state	Player-constructed explicit values and principles defining identity; built between sessions.	[]
attr_shellbroken_gap_period	Gap Period	string	unknown	lore_state	Blank period while under Hollow Author control; accessible through external evidence, not internal memory.	[]
attr_shellbroken_connection_mark	Connection Mark	string	skull_base_or_jaw	appearance	Faint geometric pattern at skull base or jaw; often concealed.	[]
attr_iron_blessed_resonance_bonus	Iron Blessed Resonance Bonus	number	2	stat_modifier	Permanent +2 RESONANCE bonus from Iron Blessed heritage.	[]
attr_iron_blessed_subtype	Subtype	list	tended	identity	Tended (Orthodoxy-aligned) or Unregistered (independent); chosen at character creation.	["tended","unregistered"]
attr_iron_blessed_hand_size_mod	Iron Blessed Hand Size Modifier	number	1	stat_modifier	+1 for Tended; -1 for Unregistered. Set at character creation.	[]
attr_iron_blessed_resonant_attunement	Resonant Attunement	boolean	true	passive	Attune to resonant items/locations instantly; spontaneous minor resonant effects once per session.	[]
attr_iron_blessed_sutensai_attention	Sutensai Attention	boolean	true	passive	Monitored by Iron Sutra priesthood; Orthodoxy knows location, contacts, and public actions.	[]
attr_iron_blessed_unexpected_integration	Unexpected Enhancement Integration	boolean	true	passive	Cybernetics develop minor resonant properties beyond design; player and GM define one at creation.	[]
attr_iron_blessed_formation_locations	Formation Locations	string	player_defined	appearance	Player-defined resonant metal formation sites on body; individual as fingerprints.	[]
attr_iron_blessed_formation_luminescence	Formation Luminescence	boolean	true	derived	Formations glow faintly; intensify in high-resonance environments.	[]
attr_iron_blessed_pain_level	Formation Pain Level	string	chronic_low	lore_state	Constant low-level ache plus acute pain during growth phases.	[]
attr_iron_blessed_spine_speak	Spine-Speak Competency	boolean	true	lore_state	Can communicate with other Iron Blessed through formation vibrations; private undecoded language.	[]
attr_iron_blessed_orthodoxy_handler	Orthodoxy Handler Status	list	has_handler	lore_state	Tended: has assigned clergy handler. Unregistered: none.	["has_handler","no_handler"]
attr_iron_blessed_pain_acute	Formation Pain Acute	boolean	false	passive	Tracks active acute pain phase; set by GM during stress events or growth phases.	[]
attr_diminished_veil_bonus	Diminished Veil Bonus	number	1	stat_modifier	Permanent +1 VEIL bonus from Diminished heritage.	[]
attr_diminished_edge_bonus	Diminished Edge Bonus	number	1	stat_modifier	Permanent +1 EDGE bonus from Diminished heritage.	[]
attr_diminished_hand_size_mod	Diminished Hand Size Modifier	number	2	stat_modifier	+2 to starting hand size: exceptional precision handling.	[]
attr_diminished_social_invisibility	Social Invisibility	boolean	true	passive	In low-caste/maintenance contexts, institutional systems and high-status NPCs require DC 14 VEIL check to register as meaningful.	[]
attr_diminished_environmental_awareness	Environmental Awareness	boolean	true	passive	Cannot be surprised by environmental threats: structures, systems, gas, terrain. Still surprised by combat ambush.	[]
attr_diminished_lean_target	Lean Target	boolean	true	passive	Enhancement-targeting abilities deal half effect: Overheat, Silence via enhancement disruption, augmentation-specific effects.	[]
attr_diminished_frame_spec	Frame Specialization	string	optimized_for_confined	derived	Skeletal structure denser and more flexible; joints at non-standard angles; lower center of gravity; fine hands.	[]
attr_diminished_deep_school	Deep School Training	boolean	true	lore_state	Trained through apprenticeship networks covering craft, political knowledge, and moral frameworks.	[]
attr_diminished_infrastructure_knowledge	Infrastructure Knowledge	string	system_specific	lore_state	Detailed knowledge of specific infrastructure systems; player may define specialization area.	[]
attr_ronin_hand_size	Ronin Hand Size	number	6	class_core	Starting hand size for Ronin class.	[]
attr_ronin_primary_stats	Ronin Primary Stats	string	IRON/EDGE	class_core	Primary stat pair: IRON and EDGE.	[]
attr_ronin_hp_mod	Ronin HP Modifier	number	14	class_core	HP formula modifier: FRAME x8 + 14.	[]
attr_ronin_corrupted_signature	Corrupted Resonance Signature	boolean	true	class_core	Oath-broken resonance signature; persists after masterless status.	[]
attr_ronin_oath_status	Oath Status	string	Masterless	class_core	Current oath relationship: Masterless, Contracted, or Returned.	[]
attr_ronin_path	Ronin Path	list	ascendant_blade	subclass	Selected subclass path.	["ascendant_blade","iron_contract","returning_blade"]
attr_ronin_contract_target	Contract Target	string		resource	Current contract target; empty if uncontracted.	[]
attr_ashfoot_hand_size	Ashfoot Hand Size	number	7	class_core	Starting hand size for Ashfoot class.	[]
attr_ashfoot_primary_stats	Ashfoot Primary Stats	string	EDGE/IRON	class_core	Primary stat pair: EDGE and IRON.	[]
attr_ashfoot_hp_mod	Ashfoot HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_ashfoot_caste_tier	Ashfoot Caste Tier	string	Low	class_core	Social caste tier at campaign start.	[]
attr_ashfoot_enhancement_quality	Enhancement Quality	string	salvage	class_core	Quality tier of starting augmentations: salvage, standard, or professional.	[]
attr_ashfoot_path	Ashfoot Path	list	skirmish_specialist	subclass	Selected subclass path.	["skirmish_specialist","formation_anchor","salvage_innovator"]
attr_veilblade_hand_size	Veilblade Hand Size	number	7	class_core	Starting hand size for Veilblade class.	[]
attr_veilblade_primary_stats	Veilblade Primary Stats	string	EDGE/SIGNAL	class_core	Primary stat pair: EDGE and SIGNAL.	[]
attr_veilblade_hp_mod	Veilblade HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_veilblade_resonant_signature	Resonant Signature State	string	suppressed	class_core	Suppressed signature prevents detection by standard resonance scans.	[]
attr_veilblade_wire_integration	Wire Integration Active	boolean	true	class_core	Character has active Wire Craft network integration.	[]
attr_veilblade_path	Veilblade Path	list	shadow_operative	subclass	Selected subclass path.	["shadow_operative","signal_cutter","ghost_archive"]
attr_oni_hunter_hand_size	Oni Hunter Hand Size	number	6	class_core	Starting hand size for Oni Hunter class.	[]
attr_oni_hunter_primary_stats	Oni Hunter Primary Stats	string	RESONANCE/IRON	class_core	Primary stat pair: RESONANCE and IRON.	[]
attr_oni_hunter_hp_mod	Oni Hunter HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_oni_hunter_quarry_marked	Quarry Marked	boolean	false	resource	True when a quarry is actively marked; enables mark-conditional card bonuses.	[]
attr_oni_hunter_dissolution_resonance	Dissolution Resonance	number	0	resource	Accumulated dissolution resonance; enables certain high-tier abilities.	[]
attr_oni_hunter_path	Oni Hunter Path	list	dissolution_specialist	subclass	Selected subclass path.	["dissolution_specialist","afterlife_anchor","resonance_collector"]
attr_forge_tender_hand_size	Forge Tender Hand Size	number	7	class_core	Starting hand size for Forge Tender class.	[]
attr_forge_tender_primary_stats	Forge Tender Primary Stats	string	SIGNAL/RESONANCE	class_core	Primary stat pair: SIGNAL and RESONANCE.	[]
attr_forge_tender_hp_mod	Forge Tender HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_forge_tender_resonance_keepers	Resonance Keepers Aligned	boolean	false	class_core	Character is aligned with the Iron Sutra Resonance Keepers faction.	[]
attr_forge_tender_community_dependent	Community Dependent	boolean	true	class_core	Character draws power and knowledge from community relationships.	[]
attr_forge_tender_path	Forge Tender Path	list	resonance_keeper	subclass	Selected subclass path.	["resonance_keeper","black_smith","echomind_anchor"]
attr_wireweave_hand_size	Wireweave Hand Size	number	7	class_core	Starting hand size for Wireweave class.	[]
attr_wireweave_primary_stats	Wireweave Primary Stats	string	SIGNAL/EDGE	class_core	Primary stat pair: SIGNAL and EDGE.	[]
attr_wireweave_hp_mod	Wireweave HP Modifier	number	6	class_core	HP formula modifier: FRAME x8 + 6 (Technical tier).	[]
attr_wireweave_path	Wireweave Path	list	combat_weave	subclass	Selected subclass path.	["combat_weave","wire_broker","iron_afterlife_weave","loom_maker"]
attr_chrome_shaper_hand_size	Chrome Shaper Hand Size	number	7	class_core	Starting hand size for Chrome Shaper class.	[]
attr_chrome_shaper_primary_stats	Chrome Shaper Primary Stats	string	IRON/SIGNAL	class_core	Primary stat pair: IRON and SIGNAL.	[]
attr_chrome_shaper_hp_mod	Chrome Shaper HP Modifier	number	6	class_core	HP formula modifier: FRAME x8 + 6 (Technical tier).	[]
attr_chrome_shaper_experimental_designs	Experimental Designs	number	0	resource	Count of experimental design applications available; grows with level.	[]
attr_chrome_shaper_path	Chrome Shaper Path	list	war_shaper	subclass	Selected subclass path.	["war_shaper","edge_builder","resonance_sculptor"]
attr_pulse_caller_hand_size	Pulse Caller Hand Size	number	7	class_core	Starting hand size for Pulse Caller class.	[]
attr_pulse_caller_primary_stats	Pulse Caller Primary Stats	string	SIGNAL/RESONANCE	class_core	Primary stat pair: SIGNAL and RESONANCE.	[]
attr_pulse_caller_hp_mod	Pulse Caller HP Modifier	number	6	class_core	HP formula modifier: FRAME x8 + 6 (Technical tier).	[]
attr_pulse_caller_integrated_weapon	Integrated Weapon Active	boolean	true	class_core	Pulse arm weapon is integrated into chassis.	[]
attr_pulse_caller_preconscious_fire	Preconscious Fire Active	boolean	false	resource	Enables reaction-speed preconscious firing when unlocked.	[]
attr_pulse_caller_path	Pulse Caller Path	list	single_point	subclass	Selected subclass path.	["single_point","iron_suppressor","resonant_shot"]
attr_iron_monk_hand_size	Iron Monk Hand Size	number	5	class_core	Starting hand size for Iron Monk class (smallest in system).	[]
attr_iron_monk_primary_stats	Iron Monk Primary Stats	string	IRON/RESONANCE	class_core	Primary stat pair: IRON and RESONANCE.	[]
attr_iron_monk_hp_mod	Iron Monk HP Modifier	number	20	class_core	HP formula modifier: FRAME x8 + 20 (Heavy tier).	[]
attr_iron_monk_between_state	Between State Active	boolean	false	resource	True when character is in Between philosophical state; enables state-conditional bonuses.	[]
attr_iron_monk_below_half_bonus	Below Half HP Bonus Active	boolean	false	resource	Tracks below-half-HP bonus state for scaling abilities.	[]
attr_iron_monk_path	Iron Monk Path	list	orthodoxy	subclass	Selected subclass path.	["orthodoxy","resonants","flesh_circle","path_of_the_between"]
attr_echo_speaker_hand_size	Echo Speaker Hand Size	number	7	class_core	Starting hand size for Echo Speaker class.	[]
attr_echo_speaker_primary_stats	Echo Speaker Primary Stats	string	RESONANCE/VEIL	class_core	Primary stat pair: RESONANCE and VEIL.	[]
attr_echo_speaker_hp_mod	Echo Speaker HP Modifier	number	6	class_core	HP formula modifier: FRAME x8 + 6 (Technical tier).	[]
attr_echo_speaker_afterlife_affinity	Afterlife Affinity	boolean	true	class_core	Character has permanent attunement to Iron Afterlife energies.	[]
attr_echo_speaker_grief_stacks	Grief Stacks	number	0	resource	Accumulated grief resonance; scales certain high-tier abilities.	[]
attr_echo_speaker_path	Echo Speaker Path	list	sutensai_aligned	subclass	Selected subclass path.	["sutensai_aligned","deep_listener","herald"]
attr_void_walker_hand_size	Void Walker Hand Size	number	7	class_core	Starting hand size for Void Walker class.	[]
attr_void_walker_primary_stats	Void Walker Primary Stats	string	RESONANCE/EDGE	class_core	Primary stat pair: RESONANCE and EDGE.	[]
attr_void_walker_hp_mod	Void Walker HP Modifier	number	6	class_core	HP formula modifier: FRAME x8 + 6 (Technical tier).	[]
attr_void_walker_incorporeal_state	Incorporeal State Active	boolean	false	resource	True when character is partially phased into void; enables phase-conditional abilities.	[]
attr_void_walker_anchor_points	Anchor Points	number	0	resource	Active anchor connections to physical plane; enables anchor-conditional abilities.	[]
attr_void_walker_path	Void Walker Path	list	ghost_operative	subclass	Selected subclass path.	["ghost_operative","threshold_puller","anchor_keeper"]
attr_sutensai_hand_size	Sutensai Hand Size	number	7	class_core	Starting hand size for Sutensai class.	[]
attr_sutensai_primary_stats	Sutensai Primary Stats	string	RESONANCE/VEIL	class_core	Primary stat pair: RESONANCE and VEIL.	[]
attr_sutensai_hp_mod	Sutensai HP Modifier	number	6	class_core	HP formula modifier: FRAME x8 + 6 (Technical tier).	[]
attr_sutensai_reader_authority	Reader Authority	boolean	true	class_core	Character holds official Sutensai Echomind reading authority.	[]
attr_sutensai_echomind_reading_level	Echomind Reading Level	number	1	resource	Current authorized reading depth; scales with level and path.	[]
attr_sutensai_hp_cost_enabled	HP Cost Payment Enabled	boolean	true	class_core	Character may pay HP instead of AP for selected cards.	[]
attr_sutensai_path	Sutensai Path	list	inquisitor	subclass	Selected subclass path.	["inquisitor","archive_master","priors_voice"]
attr_flesh_shaper_hand_size	Flesh Shaper Hand Size	number	7	class_core	Starting hand size for Flesh Shaper class.	[]
attr_flesh_shaper_primary_stats	Flesh Shaper Primary Stats	string	IRON/SIGNAL	class_core	Primary stat pair: IRON and SIGNAL.	[]
attr_flesh_shaper_hp_mod	Flesh Shaper HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10 (Balanced tier).	[]
attr_flesh_shaper_hp_tier	Flesh Shaper HP Tier	list	full	resource	Tracks HP tier for tier-conditional card scaling.	["full","wounded","critical"]
attr_flesh_shaper_path	Flesh Shaper Path	list	the_mender	subclass	Selected subclass path.	["the_mender","the_corruptor","the_self_shaper"]
attr_puppet_binder_hand_size	Puppet Binder Hand Size	number	7	class_core	Starting hand size for Puppet Binder class.	[]
attr_puppet_binder_primary_stats	Puppet Binder Primary Stats	string	SIGNAL/VEIL	class_core	Primary stat pair: SIGNAL and VEIL.	[]
attr_puppet_binder_hp_mod	Puppet Binder HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_puppet_binder_vessel_active	Vessel Active	boolean	false	resource	True when an active bound vessel exists.	[]
attr_puppet_binder_binding_threads	Binding Threads	number	0	resource	Number of currently bound targets.	[]
attr_puppet_binder_path	Puppet Binder Path	list	the_architect	subclass	Selected subclass path.	["the_architect","the_possessor","the_network"]
attr_blood_smith_hand_size	Blood Smith Hand Size	number	6	class_core	Starting hand size for Blood Smith class.	[]
attr_blood_smith_primary_stats	Blood Smith Primary Stats	string	IRON/RESONANCE	class_core	Primary stat pair: IRON and RESONANCE.	[]
attr_blood_smith_hp_mod	Blood Smith HP Modifier	number	14	class_core	HP formula modifier: FRAME x8 + 14 (Martial tier).	[]
attr_blood_smith_enhancement_status	Enhancement Status	list	stable	resource	Tracks enhancement stress state; scales certain reactions.	["stable","stressed","failing"]
attr_blood_smith_path	Blood Smith Path	list	the_weaponsmith	subclass	Selected subclass path.	["the_weaponsmith","the_armorer","the_sculptor"]
attr_hollow_hand_size	Hollow Hand Size	number	6	class_core	Starting hand size for The Hollow class.	[]
attr_hollow_primary_stats	Hollow Primary Stats	string	RESONANCE/FRAME	class_core	Primary stat pair: RESONANCE and FRAME.	[]
attr_hollow_hp_mod	Hollow HP Modifier	number	16	class_core	HP formula modifier: FRAME x8 + 16 (Resilient tier).	[]
attr_hollow_path	Hollow Path	list	the_empty	subclass	Selected subclass path: The Empty (pure resonance) or The Shell (machine-dominant).	["the_empty","the_shell"]
attr_hollow_hp_percent	Current HP Percent	number	100	resource	Current HP as percentage; drives below-half and below-quarter scaling cards.	[]
attr_shadow_daimyo_hand_size	Shadow Daimyo Hand Size	number	7	class_core	Starting hand size for Shadow Daimyo class.	[]
attr_shadow_daimyo_primary_stats	Shadow Daimyo Primary Stats	string	VEIL/SIGNAL	class_core	Primary stat pair: VEIL and SIGNAL.	[]
attr_shadow_daimyo_hp_mod	Shadow Daimyo HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_shadow_daimyo_intelligence	Intelligence Gathered	number	0	resource	Accumulated intelligence points; unlocks option-expanding abilities.	[]
attr_shadow_daimyo_contacts	Active Contacts	number	0	resource	Number of active established contacts.	[]
attr_shadow_daimyo_path	Shadow Daimyo Path	list	spymaster	subclass	Selected subclass path.	["spymaster","court_blade","broker"]
attr_voice_of_debt_hand_size	Voice of Debt Hand Size	number	7	class_core	Starting hand size for Voice of Debt class.	[]
attr_voice_of_debt_primary_stats	Voice of Debt Primary Stats	string	VEIL/SIGNAL	class_core	Primary stat pair: VEIL and SIGNAL.	[]
attr_voice_of_debt_hp_mod	Voice of Debt HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_voice_of_debt_detonations_used	Debt Detonations Used	number	0	resource	Count of Debt Detonations triggered this combat; resets per encounter.	[]
attr_voice_of_debt_path	Voice of Debt Path	list	oath_keeper	subclass	Selected subclass path.	["oath_keeper","debt_collector","the_breaker"]
attr_merchant_knife_hand_size	Merchant Knife Hand Size	number	7	class_core	Starting hand size for Merchant Knife class.	[]
