id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
card_ironclad_echomind_ascendant	Echomind Ascendant	Your Echomind surges through your enhancement network and outward. Deal 20 + RESONANCE resonant damage to all enemies within reach. Apply Silence to all targets hit. Allies within reach gain Regen 3 for 2 turns from the resonant overflow.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""20"",""damageStat"":""RESONANCE"",""keywords"":""Silence|Regen 3"",""unlockLevel"":""19"",""startingHand"":""""}"
card_ironclad_echomind_clarity	Echomind Clarity	Your Echomind achieves perfect resonant alignment this turn. Cleanse one debuff from yourself. Until end of turn, any control card used against you (Root, Silence, Stagger, etc.) automatically fails.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse|Fortify"",""unlockLevel"":""9"",""startingHand"":""""}"
card_ironclad_hollow_memory_strike	Hollow Memory Strike	You strike carrying the resonant weight of the dead you remember — lords, companions, the fallen. Deal 14 + IRON damage. If the target is below half HP, add RESONANCE to the damage and apply Expose 2.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Attack"",""baseDamage"":""14"",""damageStat"":""IRON"",""keywords"":""Expose 2"",""unlockLevel"":""11"",""startingHand"":""""}"
card_ironclad_iron_breath	Iron Breath	Your enhancement signature is under precise control. You cannot be read by passive resonance scanning unless you choose to broadcast. Once per combat, when a creature attempts to assess your caste or loyalties through technology, their attempt fails and you become aware of it.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""0"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_ironclad_iron_endurance	Iron Endurance	*Triggered when you take damage that would reduce you below half HP.* Activate your enhancement network's endurance subroutine. Reduce incoming damage by 6 + FRAME. If this prevents the damage that would have dropped you below half, gain Regen 2 for 2 turns.	power				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Reaction"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Regen 2"",""unlockLevel"":""6"",""startingHand"":""""}"
card_ironclad_iron_judgment	Iron Judgment	You assess the enemy's form and find its flaw — not through malice but through the code's demand for correctness. Apply Expose 3 and Stagger to one target. They cannot recover Guard stacks until the start of their next turn.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Control"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Expose 3|Stagger|Dispel"",""unlockLevel"":""14"",""startingHand"":""""}"
card_ironclad_iron_lord_s_will	Iron Lord's Will	The authority of your oath radiates outward. All allies within the encounter gain Fortify and Guard 4 this turn. All enemies within reach must save or be Taunted — they must target you until the start of your next turn. Deal 16 + IRON damage to one marked enemy.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""16"",""damageStat"":""IRON"",""keywords"":""Guard 4|Fortify|Taunt"",""unlockLevel"":""17"",""startingHand"":""""}"
card_ironclad_iron_vanguard	Iron Vanguard	You step between your lord, your allies, or your oath-ward and harm. Until your next turn, any attack targeting an adjacent ally may be redirected to you at your choice (no cost, once per round). Gain Shield 10 to absorb the redirected blow.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield 10|Taunt"",""unlockLevel"":""11"",""startingHand"":""""}"
card_ironclad_iron_witness	Iron Witness	When an enemy within reach is reduced to 0 HP, gain Shield 4. This represents the code's recognition of a completed act — a moment of resonant clarity in the midst of violence.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield 4"",""unlockLevel"":""2"",""startingHand"":""""}"
card_ironclad_oath_cascade	Oath Cascade	Your oath becomes a wave that crashes through multiple enemies. Deal 18 + IRON damage to up to three enemies within reach (calculated separately for each). Apply Bleed 2 to all targets hit.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""18"",""damageStat"":""IRON"",""keywords"":""Bleed 2"",""unlockLevel"":""16"",""startingHand"":""""}"
card_ironclad_oath_consecration	Oath Consecration	You briefly consecrate your position — a still center in the violence. Gain Guard 8. Allies within reach gain Guard 3. Any enemy who moves adjacent to you this turn takes 6 + RESONANCE resonant damage on contact.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 8|Guard 3"",""unlockLevel"":""10"",""startingHand"":""""}"
card_ironclad_oath_edge	Oath Edge	A measured, committed strike — form-perfect. Deal 6 + IRON damage. If you have not moved this turn, add RESONANCE to the damage. The code rewards stillness.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Attack"",""baseDamage"":""6"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""""}"
card_ironclad_oath_shatter	Oath-Shatter	Against an enemy whose oath you have witnessed breaking — a samurai who has acted dishonorably, a lord who has betrayed — your strike carries maximum weight. Deal 26 + IRON damage. Apply Expose 4, Bleed 3, and Vulnerable 3 to the target. This card's base damage cannot be reduced by Guard.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""26"",""damageStat"":""IRON"",""keywords"":""Expose 4|Bleed 3|Vulnerable 3|Pierce 10"",""unlockLevel"":""19"",""startingHand"":""""}"
card_ironclad_oath_pressure	Oath Pressure	The weight of your code presses against their defenses. Apply Expose 2 and Root to one target. The root represents not a physical restraint but the psychological weight of facing someone who has no doubt.	subclass				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Control"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Expose 2|Root"",""unlockLevel"":""4"",""startingHand"":""""}"
card_ironclad_perfect_kata	Perfect Kata	A single, absolute expression of the code — body, blade, and Echomind fully unified. Deal 22 + IRON + RESONANCE damage to one target. This attack cannot be reacted to, cannot be mitigated by Shield, and cannot miss. Once per combat.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""22"",""damageStat"":""IRON+RESONANCE"",""keywords"":""Pierce 20"",""unlockLevel"":""9"",""startingHand"":""""}"
card_ironclad_resonant_armor	Resonant Armor	Your enhancement network redistributes impact across your resonant metal, spreading harm across a larger surface. Gain Shield 6 + RESONANCE. Until end of turn, any attacker who strikes you takes 3 + RESONANCE resonant damage as resonant blowback.	power				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield"",""unlockLevel"":""8"",""startingHand"":""""}"
card_ironclad_resonant_dominance	Resonant Dominance	Your Echomind broadcasts at full intensity. Apply Taunt to all enemies in the encounter. Deal 20 + RESONANCE resonant damage to one target. All allies in the encounter gain Regen 2 for 2 turns from your resonant output.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""20"",""damageStat"":""RESONANCE"",""keywords"":""Taunt|Regen 2"",""unlockLevel"":""15"",""startingHand"":""""}"
card_ironclad_resonant_pulse	Resonant Pulse	Your Echomind discharges through your resonant blade — a pulse of spiritual force wrapped in physical steel. Deal 12 + RESONANCE resonant damage. Apply Silence to the target for 1 turn.	subclass				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Attack"",""baseDamage"":""12"",""damageStat"":""RESONANCE"",""keywords"":""Silence"",""unlockLevel"":""3"",""startingHand"":""""}"
card_ironclad_resonant_surge	Resonant Surge	Channel your Echomind into a burst of heightened performance. Gain Guard 4. This turn, one attack you make deals + IRON + RESONANCE instead of only IRON. Apply Overheat 1 to yourself (the surge has a cost).	power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 4|Overheat 1"",""unlockLevel"":""6"",""startingHand"":""""}"
card_ironclad_seventh_resonance	Seventh Resonance	You touch the unwritten principle — the one that cannot be taught, only discovered. Deal 24 + IRON + RESONANCE resonant damage to one target. Gain Regen 3 for 3 turns. All debuffs currently on you are Cleansed. Allies within reach gain Guard 6.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""24"",""damageStat"":""IRON+RESONANCE"",""keywords"":""Regen 3|Cleanse|Guard 6"",""unlockLevel"":""18"",""startingHand"":""""}"
card_ironclad_steel_resolve	Steel Resolve	Your will and your metal have become one thing. Cleanse all Fear or Charm effects currently on you. Until the start of your next turn, you are immune to control cards (Root, Silence, Stagger, Taunt used against you).	power				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse|Fortify"",""unlockLevel"":""7"",""startingHand"":""""}"
card_ironclad_stillness_kata	Stillness Kata	You have not moved. The code rewards this. Deal 8 + IRON damage. This card may only be played if you have not used a Mobility card this turn and have not moved. If both conditions are met, add RESONANCE to the damage.	subclass				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Attack"",""baseDamage"":""8"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""3"",""startingHand"":""""}"
card_ironclad_sutra_s_edge	Sutra's Edge	Your strike carries theological intention. Deal 14 + IRON damage. If the target is a Shell-state, Resonance-Broken entity, or Iron Afterlife entity, add RESONANCE to the damage and apply Expose 2. Enemies killed by this card cannot be immediately re-raised.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Attack"",""baseDamage"":""14"",""damageStat"":""IRON"",""keywords"":""Expose 2"",""unlockLevel"":""12"",""startingHand"":""""}"
card_ironclad_temple_form	Temple Form	You enter a combat state where every act is worship. Choose one form this turn: **Water** (gain Mobility — your movement does not trigger reactions), **Fire** (after dealing damage, target loses their Reaction), or **Iron** (when you take damage this turn, gain Shield equal to half the damage received).	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield"",""unlockLevel"":""13"",""startingHand"":""""}"
card_ironclad_the_final_sutra	The Final Sutra	You perform the Iron Rite on a target you have just struck. Deal 20 + IRON + RESONANCE damage. The target's Echomind is disrupted — apply Silence, Stagger, and Expose 3. If this reduces the target to 0 HP, their body cannot be reanimated during this encounter.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""20"",""damageStat"":""IRON+RESONANCE"",""keywords"":""Silence|Stagger|Expose 3"",""unlockLevel"":""16"",""startingHand"":""""}"
card_ironclad_the_seventh_vein	The Seventh Vein	The unwritten principle made manifest. Deal 26 + IRON + RESONANCE resonant damage to one target. Gain Regen 4 for 3 turns. Cleanse all debuffs from yourself. Apply Expose 4 and Bleed 3 to the target. All allies in the encounter gain Guard 8. Once per combat — this is the deepest expression of everything the code has made you.	capstone				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""3"",""cardType"":""Signature — Capstone"",""baseDamage"":""26"",""damageStat"":""IRON+RESONANCE"",""keywords"":""Regen 4|Cleanse|Expose 4|Bleed 3|Guard 8"",""unlockLevel"":""20"",""startingHand"":""""}"
card_ironclad_unbroken_fealty	Unbroken Fealty	Your oath is a physical thing. Target one adjacent ally who is below half HP. Transfer up to 12 HP from yourself to them. This card cannot reduce you below 1 HP. The ally also gains Guard 4 from your resonant protection.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 4"",""unlockLevel"":""15"",""startingHand"":""""}"
card_ironclad_undying_debt	Undying Debt	You carry the names of the dead in your resonant metal. Against a designated oath-debt target (story designation with GM), deal 16 + IRON damage and apply Bleed 3. Until the end of this combat, this target cannot hide from you — you always know their position.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":""16"",""damageStat"":""IRON"",""keywords"":""Bleed 3|Mark"",""unlockLevel"":""12"",""startingHand"":""""}"
card_ironclad_vein_discipline	Vein Discipline	Your code creates clarity of form. Once per turn, when you take damage, reduce it by 2 (this is the code's demand that you absorb and continue, not merely react).	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""4"",""startingHand"":""""}"
card_ironclad_vein_of_the_flesh	Vein of the Flesh	The body is the temple. When you take damage this turn, gain Shield equal to your FRAME + RESONANCE. This shield persists until depleted, not just until end of turn.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""2"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield"",""unlockLevel"":""14"",""startingHand"":""""}"
card_ironclad_vein_strike	Vein Strike	A disciplined blow that carries the weight of your oath. Deal 6 + IRON damage. Once per turn, if this is the first card you played this turn, add RESONANCE to the damage.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ironclad"",""tier"":""1"",""cardType"":""Attack"",""baseDamage"":""6"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_ronin_broken_code_strike	Broken Code Strike	You attack using everything the code would forbid — every feint, every dirty angle, every technique a trained samurai is taught to consider beneath them. Deal 22 + IRON damage. Apply Bleed 3 and Expose 3. If the target is an Ironclad Samurai or similarly code-bound fighter, this attack cannot be mitigated by Guard stacks.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""22"",""damageStat"":""IRON"",""keywords"":""Bleed 3|Expose 3|Pierce 6"",""unlockLevel"":""14"",""startingHand"":""""}"
card_ronin_broken_resonance	Broken Resonance	Your corrupted lord-frequency broadcasts wrongness to any enhancement reader. Once per combat, when a creature attempts to read your enhancement signature for tactical purposes, their reading returns false data. Additionally, control cards targeting you (Taunt, Charm, Silence used against you) have their duration reduced by 1 turn — the corruption interferes with clean resonant locks.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""0"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Silence|Taunt"",""unlockLevel"":""1"",""startingHand"":""true""}"
card_ronin_combat_pragmatism	Combat Pragmatism	You don't fight to look right. You fight to finish. Deal 6 + IRON damage. If the target is below half HP, add EDGE to the damage — you know exactly where to apply pressure when someone is already losing.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""1"",""cardType"":""Attack"",""baseDamage"":""6"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_ronin_controlled_retreat	Controlled Retreat	Disengage cleanly and reposition. Move up to your full speed without triggering reactions. Gain Guard 3 during this movement. This is not running — it is the Ronin's specific skill of leaving at exactly the right moment.	level_up				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""1"",""cardType"":""Mobility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 3"",""unlockLevel"":""2"",""startingHand"":""""}"
card_ronin_corrupt_pulse	Corrupt Pulse	Direct your corrupted resonance outward in a focused burst. Apply Overheat 2 and Stagger to one target within reach. Enhanced targets (those with significant enhancement investment) also suffer Silence for 1 turn — your corruption destabilizes their integrated systems.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""2"",""cardType"":""Control"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Overheat 2|Stagger|Silence"",""unlockLevel"":""11"",""startingHand"":""""}"
card_ronin_corrupted_clarity	Corrupted Clarity	The degraded lord-frequency has settled into something honest. You cannot be deceived by social or resonant manipulation — any effect that would force you to believe something demonstrably false against your direct experience automatically fails. You have developed the masterless person's particular clarity about what people actually want.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""3"",""startingHand"":""""}"
card_ronin_counter_kata	Counter Kata	*Triggered when an enemy uses a named ability or class feature against you.* You have spent years watching the code from outside it. You read their pattern before they complete it. Deal 8 + EDGE damage as a counter-strike. Apply Stagger to the attacker — their form collapsed against your recognition of it.	subclass				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""1"",""cardType"":""Reaction"",""baseDamage"":""8"",""damageStat"":""EDGE"",""keywords"":""Stagger"",""unlockLevel"":""4"",""startingHand"":""""}"
card_ronin_corruption_bloom	Corruption Bloom	Your corrupted resonance erupts in a burst of destabilizing energy. Deal 18 + IRON damage to all enemies within reach (calculated separately). Apply Overheat 2 and Expose 2 to all targets hit. Until the start of your next turn, any enemy who strikes you takes 4 + EDGE resonant damage from resonant blowback.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""18"",""damageStat"":""IRON"",""keywords"":""Overheat 2|Expose 2"",""unlockLevel"":""18"",""startingHand"":""""}"
card_ronin_debt_to_no_one	Debt to No One	You carry no lord's frequency and no lord's obligation. This turn, all attacks you make deal maximum base damage (treat base damage as the highest value in the tier range). Gain Fortify — no control effects can land on you this turn. Apply Expose 3 to all enemies you damage.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Fortify|Expose 3"",""unlockLevel"":""17"",""startingHand"":""""}"
card_ronin_dirty_finish	Dirty Finish	A strike aimed at a hidden gap — the place where their guard assumes no threat could come from. Deal 8 + IRON damage. If the target has not yet acted this round (they are surprised, or you act before them in initiative), add EDGE to the damage.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""1"",""cardType"":""Attack"",""baseDamage"":""8"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""""}"
card_ronin_edge_of_the_masterless	Edge of the Masterless	Everything the Ironclad schools protected you from has sharpened you. Deal 24 + IRON + EDGE damage to one target. This attack's critical range is extended — if IRON + EDGE combined exceeds 10, the attack also applies Bleed 3 and Expose 3 automatically.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:ronin"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""24"",""damageStat"":""IRON+EDGE"",""keywords"":""Bleed 3|Expose 3"",""unlockLevel"":""18"",""startingHand"":""""}"
