Name	Size	Type	Subtype	Alignment	Armor Class	Initiative	Hit Points	Hit Dice	Speed	Fly	Strength	Strength Saving Throw	Dexterity	Dexterity Saving Throw	Constitution	Constitution Saving Throw	Intelligence	Intelligence Saving Throw	Wisdom	Wisdom Saving Throw	Charisma	Charisma Saving Throw	Resistances	Immunities	Passive Perception	Darkvision	Languages	Challenge Rating	Description	Image
Adult White Dragon	Huge	Dragon	Chromatic	Chaotic Evil	18	10	200	16d12 + 96	40	80	26	8	10	6	26	8	10	0	13	7	18	4	Cold	Cold	21	120	Common, Draconic	13	# Traits\n**Ice Walk**\nThe dragon can move across and climb icy\n\n**surfaces without needing to make an ability check**\ndditionally, ifficult Terrain composed of ice or sno\n\n**doesn’t cost it extra movement**\nLegendary Resistance (3/Day, or 4/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks.\n\n**Rend**\nMelee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6\n+ 6) Slashing damage plus 4 (1d8) Cold damage.\nCold Breath (Recharge 5–6). Constitution Saving\nThrow: DC 19, each creature in a 60-foot Cone. Failure:\n54 (12d8) Cold damage. Success: Half damage.\n\n# Legendary Actions\n# Traits\n**Ice Walk**\nThe dragon can move across and climb icy\n\n**surfaces without needing to make an ability check**\ndditionally, ifficult Terrain composed of ice or sno\n\n**doesn’t cost it extra movement**\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks.\n\n**Rend**\nMelee Attack Roll: +14, reach 15 ft. Hit: 17 (2d8\n+ 8) Slashing damage plus 7 (2d6) Cold damage.\nCold Breath (Recharge 5–6). Constitution Saving\nThrow: DC 22, each creature in a 90-foot Cone. Fail-\nure: 63 (14d8) Cold damage. Success: Half damage.\n\n# Legendary Actions	
Air Elemental	Large	Elemental		Neutral	15	5	90	12d10 + 24	10	90	14	2	20	5	14	2	6	-2	10	0	6	-2	Bludgeoning, Lightning, Piercing, Slashing Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious	Poison, Thunder, Exhaustion, Grappled	10	60	Primordial (Auran)	5	# Traits\n**Air Form**\nThe elemental can enter a creature’s space\n\n**and stop there**\nIt can move through a space as narrow\n\n# Actions\n**Multiattack**\nThe elemental makes two Thunderous\n\n**Thunderous Slam**\nMelee Attack Roll: +8, reach 10 ft.\nHit: 14 (2d8 + 5) Thunder damage. Whirlwind (Recharge 4–6). Strength Saving Throw: DC\n13, one Medium or smaller creature in the elemental’s\n\n**space**\nFailure: 24 (4d10 + 2) Thunder damage, and the\ntarget is pushed up to 20 feet straight away from the\n\n**elemental and has the Prone condition**\nSuccess: Half	
Ancient Blue Dragon	Gargantuan	Dragon	Chromatic	Lawful Evil	22	14	481	26d20 + 208	40	80	29	9	10	7	27	8	18	4	17	10	25	7		Lightning	27	120	Common, Draconic	23	# Traits\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\nShatter (level 3 version).\n\n**Rend**\nMelee Attack Roll: +16, reach 15 ft. Hit: 18 (2d8\n+ 9) Slashing damage plus 11 (2d10) Lightning damage.\nLightning Breath (Recharge 5–6). Dexterity Saving\nThrow: DC 23, each creature in a 120-foot-long,\n\n**10-foot-wide Line**\nFailure: 88 (16d10) Lightning dam-\n\n**age**\nSuccess: Half damage.\n\n# Legendary Actions	
Ancient Brass Dragon	Gargantuan	Dragon	Metallic	Chaotic Good	20	12	332	19d20 + 133	40	80	27	8	10	6	25	7	16	3	15	8	22	6		Fire	24	120	Common, Draconic	20	# Traits\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of (A) Sleep Breath or\n(B) Spellcasting to cast Scorching Ray (level 3 version).\n\n**Rend**\nMelee Attack Roll: +14, reach 15 ft. Hit: 19 (2d10\n+ 8) Slashing damage plus 7 (2d6) Fire damage.\n\n# Legendary Actions	
Ancient Bronze Dragon	Gargantuan	Dragon	Metallic	Lawful Good	22	14	444	24d20 + 192	40	80	29	9	10	7	27	8	18	4	17	10	25	7		Lightning	27	120	Common, Draconic	22	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks.\nIt can replace one attack with a use of (A) Repulsion\nBreath or (B) Spellcasting to cast Guiding Bolt (level\n2 version).\n\n**Rend**\nMelee Attack Roll: +16, reach 15 ft. Hit: 18 (2d8\n+ 9) Slashing damage plus 9 (2d8) Lightning damage.\nLightning Breath (Recharge 5–6) . Dexterity Saving\nThrow: DC 23, each creature in a 120-foot-long,\n\n**10-foot-wide Line**\nFailure: 82 (15d10) Lightning dam-\n\n**age**\nSuccess: Half damage.\n\n**Repulsion Breath**\nStrength Saving Throw: DC 23, each\n\n**creature in a 30-foot Cone**\nFailure: The target is pushed\nup to 60 feet straight away from the dragon and has the\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 22,\n+14 to hit with spell attacks):\nAt Will: Detect Magic , Guiding Bolt (level 2 version),\nShapechange (Beast or Humanoid form only, no\nTemporary Hit Points gained from the spell, and no\nConcentration or Temporary Hit Points required to\nmaintain the spell), Speak with Animals , Thaumaturgy\n1/Day Each: Detect Thoughts , Control Water , Scrying ,\nWater Breathing\n\n# Legendary Actions	
Ancient Copper Dragon	Gargantuan	Dragon	Metallic	Chaotic Good	21	15	367	21d20 + 147	40	80	27	8	12	8	25	7	20	5	17	10	22	6		Acid	27	120	Common, Draconic	21	# Traits\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of (A) Slowing Breath\nor (B) Spellcasting to cast Mind Spike (level 5 version).\n\n**Rend**\nMelee Attack Roll: +15, reach 15 ft. Hit: 19 (2d10\n+ 8) Slashing damage plus 9 (2d8) Acid damage.\nAcid Breath (Recharge 5–6) . Dexterity Saving Throw:\nDC 22, each creature in an 90-foot-long, 10-foot-\n\n**wide Line**\nFailure: 63 (14d8) Acid damage. Success:\n\n**Slowing Breath**\nConstitution Saving Throw: DC 22,\n\n**each creature in a 90-foot Cone**\nFailure: The target\ncan’t take Reactions; its Speed is halved; and it can take\neither an action or a Bonus Action on its turn, not both.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 21):\nAt Will: Detect Magic , Mind Spike (level 5 version),\nMinor Illusion , Shapechange (Beast or Humanoid\nform only, no Temporary Hit Points gained from the\nspell, and no Concentration or Temporary Hit Points\nrequired to maintain the spell)\n1/Day Each: Greater Restoration , Major Image ,\nProject Image\n\n# Legendary Actions	
Ancient Gold Dragon	Gargantuan	Dragon	Metallic	Lawful Good	22	16	546	28d20 + 252	40	80	30	10	14	9	29	9	18	4	17	10	28	9		Fire	27	120	Common, Draconic	24	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of (A) Spellcasting\nto cast Guiding Bolt (level 4 version) or (B) Weaken-\n\n**Rend**\nMelee Attack Roll: +17 to hit, reach 15 ft. Hit: 19\n(2d8 + 10) Slashing damage plus 9 (2d8) Fire damage.\nFire Breath (Recharge 5–6) . Dexterity Saving Throw:\nDC 24, each creature in a 90-foot Cone. Failure: 71\n(13d10) Fire damage. Success: Half damage.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\n\n# Legendary Actions	
Ancient Green Dragon	Gargantuan	Dragon	Chromatic	Lawful Evil	21	15	402	23d20 + 161	40	80	27	8	12	8	25	7	20	5	17	10	22	6		Poison, Poisoned	27	120	Common, Draconic	22	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\nMind Spike (level 5 version).\n\n**Rend**\nMelee Attack Roll: +15, reach 15 ft. Hit: 17 (2d8\n+ 8) Slashing damage plus 10 (3d6) Poison damage.\nPoison Breath (Recharge 5–6). Constitution Saving\nThrow: DC 22, each creature in a 90-foot Cone. Fail-\nure: 77 (22d6) Poison damage. Success: Half damage.\n\n**Spellcasting**\nThe dragon casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 21):\nAt Will: Detect Magic , Mind Spike (level 5 version)\n1/Day Each: Geas , Modify Memory Legendary Actions	
Ancient Red Dragon	Gargantuan	Dragon	Chromatic	Chaotic Evil	22	14	507	26d20 + 234	40	80	30	10	10	7	29	9	18	4	15	9	27	8		Fire	26	120	Common, Draconic	24	# Traits\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks. It\ncan replace one attack with a use of Spellcasting to cast\nScorching Ray (level 3 version).\n\n**Rend**\nMelee Attack Roll: +17, reach 15 ft. Hit: 19 (2d8\n+ 10) Slashing damage plus 10 (3d6) Fire damage.\nFire Breath (Recharge 5–6). Dexterity Saving Throw:\nDC 24, each creature in a 90-foot Cone. Failure: 91\n(26d6) Fire damage. Success: Half damage.\n\n# Legendary Actions	
Ancient Silver Dragon	Gargantuan	Dragon	Metallic	Lawful Good	22	14	468	24d20 + 216	40	80	30	10	10	7	29	9	18	4	15	9	26	8		Cold	26	120	Common, Draconic	23	# Traits\nLegendary Resistance (4/Day, or 5/Day in Lair). If\nthe dragon fails a saving throw, it can choose to suc-\n# Actions\n**Multiattack**\nThe dragon makes three Rend attacks.\nIt can replace one attack with a use of (A) Paralyz-\ning Breath or (B) Spellcasting to cast Ice Knife (level\n2 version).\n\n**Rend**\nMelee Attack Roll: +17, reach 15 ft. Hit: 19 (2d8\n+ 10) Slashing damage plus 9 (2d8) Cold damage.\nCold Breath (Recharge 5–6) . Constitution Saving\nThrow: DC 24, each creature in a 90-foot Cone. Fail-\nure: 67 (15d8) Cold damage. Success: Half damage.\n\n# Legendary Actions	
Animated Armor	Medium	Construct		Unaligned	18	2	33	6d8 + 6	25	0	14	2	11	0	13	1	1	-5	3	-4	1	-5		Poison, Psychic, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned	6	0	None	1	# Actions\n**Multiattack**\nThe armor makes two Slam attacks.\n\n**Slam**\nMelee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2)	
Animated Flying Sword	Small	Construct		Unaligned	17	4	14	4d6	5	50	12	1	15	4	11	0	1	-5	5	-3	1	-5		Poison, Psychic, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned	7	0	None	1/4	# Actions\n**Slash**\nMelee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2)	
Animated Rug of Smothering	Large	Construct		Unaligned	12	4	27	5d10	10	0	17	3	14	2	10	0	1	-5	3	-4	1	-5		Poison, Psychic, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned	6	0	None	2	# Actions\n**Smother**\nMelee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6\n+ 3) Bludgeoning damage. If the target is a Medium or\nsmaller creature, the rug can give it the Grappled con-\ndition (escape DC 13) instead of dealing damage. Until\nthe grapple ends, the target has the Blinded and Re-\nstrained conditions, is suffocating, and takes 10 (2d6 +\n3) Bludgeoning damage at the start of each of its turns.\n\n**The rug can smother only one creature at a time**\nWhile grappling the target, the rug can’t take this ac-\ntion, the rug halves the damage it takes (round down),	
Ankheg	Large	Monstrosity		Unaligned	14	0	45	6d10 + 12	30	0	17	3	11	0	14	2	1	-5	13	1	6	-2			11	60	None	2	# Traits\n**Tunneler**\nThe ankheg can burrow through solid rock\nat half its Burrow Speed and leaves a 10-foot-diameter\n\n# Actions\n**Bite**\nMelee Attack Roll: +5 (with Advantage if the target\nis Grappled by the ankheg), reach 5 ft. Hit: 10 (2d6 + 3)\nSlashing damage plus 3 (1d6) Acid damage. If the target\nis a Large or smaller creature, it has the Grappled con-\ndition (escape DC 13).\nAcid Spray (Recharge 6). Dexterity Saving Throw: DC\n12, each creature in a 30-foot-long, 5-foot-wide Line.\nFailure: 14 (4d6) Acid damage. Success: Half damage. Assassin	
